Video;Link;Visualizações;Curtidas;Comentários;Downloads;Compartilhamentos;Data;ID Usuário;Região;Título
Vídeo: 0;https://www.tiktok.com/@BigBrotherBrasil/video/7338790759824510214;58745;4541;167;0;14;23-02-2024 10:36:19;6545566350499124239;BR;Em conversa com Alane e Beatriz, Davi fala sobre sua relação com Isabelle. As sisters aconselham o brother a conversar com a dançarina.  Veja a conversa completa no link da bio! 📲 #BBB24 #RedeBBB #BBB
Vídeo: 1;https://www.tiktok.com/@WebTVBrasileira👊🏼/video/7338526590898326827;63705;1718;125;0;15;22-02-2024 17:31:24;6653399344409001989;BR;💣 A cachaxa! Davi é inconveniente com Pitel e divide opiniões na internet. O que vocês acharam da atitude dele? #BBB24 #webtvbrasileira
Vídeo: 2;https://www.tiktok.com/@Maid/video/7338487502241549576;9429;1427;3;0;5;22-02-2024 14:59:34;6862685516760892417;TH;กว่าจะมาเป็นบ้านbabyb#มิเกลdk #พุดดิ้งgc #เฟย์pha #ยูนะxv #เจเจpha #พีพีpha #พี่เจนbbb #อู่ฟู่gta #อู่ฟู่bbb#ลีซอxd #เปาเสียไม่ได้ #พี่เปาihavecpu #นักข่าวเจนgamingnews  #babyb #บ้านเบบี้บัง #มิเกลหลานdw #ยูนะหลานdw #เฟย์หลานdw 
Vídeo: 3;https://www.tiktok.com/@เจี๊ยบจะเรียล🐣/video/7338721987805678849;7351;1587;3;0;0;23-02-2024 06:09:30;75973181001;TH;Fast and furious #1mill 
Vídeo: 4;https://www.tiktok.com/@♡/video/7338440784175254792;3583;1561;7;0;1;22-02-2024 11:58:14;6807760953363792898;TH;🫠
Vídeo: 5;https://www.tiktok.com/@Mina🫶🏻/video/7338493583336557856;240597;26339;1205;0;380;22-02-2024 15:23:11;6971400452265362437;FR;💔
